mass_A
t	x
0.000000000E0	4.263256415E-14
1.600333333E-1	-4.873513445E-2
3.359333333E-1	7.143556979E-3
4.959000000E-1	2.185430206E-2
6.719000000E-1	-1.211228999E-2
8.318333333E-1	-7.374879396E-2
1.007833333E0	-2.936615098E-2
1.167966667E0	1.828358965E-3
1.327866667E0	-4.202375797E-2
1.503833333E0	1.488754454E-2
1.663866667E0	-4.983505213E-2
1.839866667E0	-4.511022851E-2
2.000033333E0	-1.011731297E-1
2.159933333E0	2.049853153E-2
2.336000000E0	-5.583538053E-3
2.496033333E0	2.220124251E-2
2.671900000E0	-7.965979227E-2
2.831966667E0	-1.968898785E-2
2.992100000E0	-1.048422933E-1
3.167933333E0	-3.897503280E-4
3.327933333E0	3.716896339E-2
3.503866667E0	1.709773510E-2
3.663900000E0	-2.747119681E-2
3.824166667E0	-3.355168638E-2
3.999966667E0	-1.150305017E-2
4.159966667E0	7.323694601E-3
4.335900000E0	1.219181715E-2
4.496000000E0	-3.039359187E-2
4.672300000E0	3.467916309E-2
4.831900000E0	-2.329178297E-2
4.992033333E0	-7.937396884E-2
5.168033333E0	-1.353241496E-1
5.328100000E0	-1.347116546E0
5.503800000E0	-3.855984339E0
5.663833333E0	-6.509922056E0
5.823866667E0	-1.075127308E1
5.999833333E0	-1.390109575E1
6.159833333E0	-1.867019073E1
6.335866667E0	-2.262153309E1
6.495866667E0	-2.731731582E1
6.656033333E0	-3.166747483E1
6.831866667E0	-3.671555049E1
6.992033333E0	-4.129832382E1
7.167833333E0	-4.673614572E1
7.327933333E0	-5.189271491E1
7.503866667E0	-5.591593909E1
7.663866667E0	-5.938012967E1
7.824166667E0	-6.329539917E1
7.999800000E0	-8.654918561E1
8.159966667E0	-8.946637839E1
8.335933333E0	-9.316222331E1
8.496033333E0	-9.570937491E1
8.656233333E0	-9.689446072E1
8.831933333E0	-9.846837667E1
8.991966667E0	-9.887876039E1
9.167866667E0	-9.933538222E1
9.328433333E0	-9.960449288E1
9.488733333E0	-9.938410855E1
9.664000000E0	-9.877224785E1
9.824000000E0	-9.814607246E1
9.999933333E0	-9.727127733E1
1.015996667E1	-9.680622651E1
1.032030000E1	-9.613242352E1
1.049593333E1	-9.528488058E1
1.065606667E1	-9.390385297E1
1.083233333E1	-9.179481290E1
1.099200000E1	-8.945168891E1
1.116790000E1	-8.714962847E1
1.132806667E1	-8.382383621E1
1.148823333E1	-8.120884430E1
1.166393333E1	-7.724062456E1
1.182396667E1	-7.478408437E1
1.199993333E1	-7.351852811E1
1.215993333E1	-5.384232323E1
1.232010000E1	-5.143169018E1
1.249596667E1	-4.988871520E1
1.265626667E1	-4.745321170E1
1.283193333E1	-4.566014162E1
1.299190000E1	-4.383292528E1
1.315200000E1	-4.219138977E1
1.332803333E1	-4.018899389E1
1.348850000E1	-3.839967664E1
1.366386667E1	-3.638216243E1
1.382393333E1	-3.476539402E1
1.399993333E1	-3.226755706E1
1.415990000E1	-2.978146399E1
1.432003333E1	-4.085285114E1
1.449593333E1	-1.965932214E1
1.465623333E1	-3.212936218E1
1.483203333E1	-1.208573079E1
1.499193333E1	-8.896879814E0
1.515203333E1	-5.679272862E0
1.532803333E1	-2.321108658E0
1.548860000E1	4.383373153E-1
1.566380000E1	3.174350764E0
1.582383333E1	5.937718517E0
1.598393333E1	8.342034245E0
1.616050000E1	1.005593453E1
