mass_A
t	x
0.000000000E0	0.000000000E0
1.600333333E-1	-1.071367876E-2
3.359333333E-1	9.946229857E-3
4.959000000E-1	-3.500869487E-3
6.719000000E-1	1.542030456E-2
8.318333333E-1	3.656858052E-2
1.007833333E0	4.594947866E-2
1.167966667E0	2.984183526E-2
1.327866667E0	1.764177133E-2
1.503833333E0	2.546224617E-2
1.663866667E0	2.278105684E-3
1.839866667E0	3.112562913E-3
2.000033333E0	3.027974005E-2
2.159933333E0	1.250071403E-2
2.336000000E0	6.821702364E-3
2.496033333E0	3.437208231E-3
2.671900000E0	5.576671372E-3
2.831966667E0	1.634030814E-2
2.992100000E0	2.017423692E-2
3.167933333E0	5.787064711E-3
3.327933333E0	1.158570824E-2
3.503866667E0	1.545334276E-2
3.663900000E0	7.852408436E-3
3.824166667E0	1.886248993E-2
3.999966667E0	1.107157013E-2
4.159966667E0	7.489472390E-3
4.335900000E0	-1.978202543E-2
4.496000000E0	2.416847022E-2
4.672300000E0	1.691162703E-2
4.831900000E0	1.310773293E-2
4.992033333E0	9.778434495E-3
5.168033333E0	4.281743780E-4
5.328100000E0	7.370120275E-3
5.503800000E0	7.333245308E-3
5.663833333E0	2.063801127E-2
5.823866667E0	1.608475448E-2
5.999833333E0	4.091519978E-3
6.159833333E0	-6.483602351E-5
6.335866667E0	3.922011737E-3
6.495866667E0	4.567863775E-3
6.656033333E0	-4.469609852E-3
6.831866667E0	-2.072025244E-2
6.992033333E0	6.688013648E-3
7.167833333E0	4.621071546E-3
7.327933333E0	3.521316173E-3
7.503866667E0	-4.995649037E-3
7.663866667E0	-3.170098712E-2
7.824166667E0	-5.773350140E-2
7.999800000E0	-1.892971359E-2
8.159966667E0	-1.823901917E-2
8.335933333E0	2.289756188E-3
8.496033333E0	1.878401014E-2
8.656233333E0	3.571838081E-2
8.831933333E0	4.316020958E-2
8.991966667E0	-1.452924989E-2
9.167866667E0	1.082079323E-2
9.328433333E0	6.442371457E-3
9.488733333E0	-6.236930944E-2
9.664000000E0	-3.698598436E-2
9.824000000E0	-9.365516264E-2
9.999933333E0	-6.556441538E-2
1.015996667E1	-9.145369898E-2
1.032030000E1	-1.441646591E-1
1.049593333E1	-1.743216708E-1
1.065606667E1	-2.968515574E-1
1.083233333E1	-6.391486074E-2
1.099200000E1	-5.385338954E-2
1.116790000E1	2.921246911E-2
1.132806667E1	2.511077096E-2
1.148823333E1	1.053321654E-1
1.166393333E1	1.206483682E-1
1.182396667E1	5.191455041E-2
1.199993333E1	1.193099855E-2
1.215993333E1	-6.226000397E-3
1.232010000E1	2.088648106E-2
1.249596667E1	8.228231752E-2
1.265626667E1	8.356326485E-2
1.283193333E1	3.407258241E-2
1.299190000E1	-1.839866296E-3
1.315200000E1	-2.080989829E-2
1.332803333E1	-5.466755867E-2
1.348850000E1	-2.867294303E-2
1.366386667E1	-4.158800688E-2
1.382393333E1	-3.783328235E-2
1.399993333E1	-7.756199797E-3
1.415990000E1	-5.417199958E-3
1.432003333E1	5.991193013E-3
1.449593333E1	1.710696717E-2
1.465623333E1	-2.045013672E-2
1.483203333E1	4.479284264E-4
1.499193333E1	3.989709199E-2
1.515203333E1	1.335638426E-1
1.532803333E1	9.036804187E-2
1.548860000E1	1.049268995E-1
1.566380000E1	3.412314470E-2
1.582383333E1	1.801533658E-2
1.598393333E1	-7.997459698E-3
1.616050000E1	2.204023723E-2
1.631996667E1	2.964182581E-2
1.649583333E1	2.655900476E-2
1.665650000E1	5.531546086E-2
1.681636667E1	5.505901949E-2
1.699206667E1	3.237352889E-2
1.715190000E1	-2.143295544E-2
1.732783333E1	-3.314829403E-2
1.748823333E1	-2.673928859E-2
1.766383333E1	-1.908200046E-2
1.782413333E1	6.292577994E-2
1.798393333E1	3.227164042E-2
1.815996667E1	-2.735938586E-2
1.832006667E1	1.346640685E-2
1.849586667E1	-6.624721488E-3
1.865653333E1	3.504548056E-3
1.881606667E1	3.932687816E-2
1.899196667E1	2.577847742E-2
1.915203333E1	7.759413529E-2
1.932793333E1	7.931455833E-2
1.948856667E1	6.008951239E-3
1.964796667E1	9.928625895E-3
1.982390000E1	-1.870057167E-2
1.998393333E1	-1.701999923E-1
2.015990000E1	-1.171137340E-1
2.031993333E1	-1.022957390E-1
2.049596667E1	-4.210124012E-2
2.065603333E1	-2.504678199E-2
2.081600000E1	2.881938899E-2
2.099196667E1	-4.133365433E-2
2.115200000E1	-3.430264467E-2
2.132783333E1	-2.852647284E-2
2.148833333E1	-4.107171766E-2
2.164800000E1	-1.522434414E-2
2.182396667E1	1.360499167E-2
2.198406667E1	1.639266890E-2
2.215996667E1	-2.467144915E-2
2.231993333E1	-4.911925354E-2
2.248003333E1	-1.043731608E-1
2.265626667E1	-9.655574720E-2
2.281613333E1	-8.853740770E-2
2.299193333E1	-2.798529157E-3
2.315200000E1	4.905344770E-3
2.331196667E1	-3.469410334E-2
2.348836667E1	-1.031231687E-2
2.364800000E1	-2.135719760E-3
2.382393333E1	7.731387195E-2
2.398393333E1	1.387895431E-1
2.415990000E1	9.848870794E-2
2.431996667E1	4.140320923E-2
2.447993333E1	3.402714172E-2
2.465620000E1	8.127121490E-2
2.481600000E1	1.783354152E-2
2.499186667E1	1.083883000E-2
2.515196667E1	2.290128143E-2
2.531196667E1	2.840927004E-2
2.548780000E1	-3.195262796E-2
2.564800000E1	4.582314563E-3
2.582393333E1	1.836446991E-2
2.598386667E1	-5.458323075E-3
2.614450000E1	7.709176378E-3
2.632026667E1	7.940430369E-3
2.648013333E1	1.335066435E-2
2.665603333E1	-6.871201985E-2
2.681606667E1	-2.493877330E-2
2.699183333E1	3.836766760E-2
2.715203333E1	7.085344005E-2
2.731250000E1	3.687083203E-2
2.748803333E1	2.960629306E-2
2.764813333E1	1.499506946E-2
2.782383333E1	8.298433620E-2
2.798403333E1	1.694540504E-2
2.814390000E1	3.912946777E-2
2.832030000E1	4.214061882E-2
2.848003333E1	1.716469886E-2
2.865613333E1	1.923788941E-2
2.881606667E1	3.166942252E-2
2.897596667E1	6.512203148E-2
2.915206667E1	6.858781839E-3
2.931196667E1	6.300228823E-3
2.948840000E1	3.492637642E-3
2.964786667E1	3.028303228E-2
2.980800000E1	2.165273603E-2
2.998413333E1	8.309128934E-2
3.014400000E1	3.050586262E-2
3.031986667E1	-1.705387720E-3
